"id","name","state","created_at","updated_at","short_name","tax_id","address1","address2","city","us_state","zipcode","country","notes","external_id","company_type","emails"
1,_bluex,0,2021-08-18 07:43:48.420,2022-02-14 10:24:35.238,_bluex,"12345678",Test Address,"",Taipei,Taipei,"",US,"","",FORWARDER_NVOCC,"{alvin.wu+portal@bluextrade.com,jason+smss2@bluextrade.com,jerry.cheng+csclient@bluextrade.com,jinho.chang+idp@bluextrade.com,kevin+bxpay@bluextrade.com,service.quality+payer@bluextrade.com,vivian.chiang+bxpclient@bluextrade.com}"
2,"Port Alliance Supply Chain Solutions Co., Ltd",0,2021-09-08 03:09:07.335,2021-09-28 06:34:31.763,"Port Alliance Supply Chain Solutions Co., Ltd","25089298","No. 132, No. 11, Section 2, Nanjing Road, Zhongshan District, Taipei City, 10489","",Taipei,Taipei,"",TW,"","",FORWARDER_NVOCC,"{johnny.chen@port-alliance.com.cn,kris.lin@sagaintl.com.tw}"
3,Liyang Shipping Ltd.,0,2021-09-10 09:11:29.722,2021-09-28 08:05:10.656,Liyang Shipping Ltd.,"014401017837705538","Room 501,Zhongming building,  No.100,Long Kou Xi Road.Guangzhou,China","",Guangzhou,Guangzhou,"",CN,"","",FORWARDER_NVOCC,"{stephen@lyshipping.net,yanni@lyshipping.net}"
4,Port Alliance Logistics International Inc.,0,2021-09-22 05:47:39.907,2021-09-28 06:36:22.342,Port Alliance Logistics International Inc.,"0400044454","12029 Mott Street, Arlington, TN, US","",Arlington,TN,"12029",US,"","","","{amber.woods@port-alliance.com,kimberly.wood@port-alliance.com,scott.bales@port-alliance.com}"
5,"TRANSWORLD TRANSPORTATION CO., LTD.",0,2021-09-23 09:45:54.454,2021-10-29 06:52:53.774,"TRANSWORLD TRANSPORTATION CO., LTD.","352726455","No.1 and No.2, No. 130, Section 2, Zhongxiao Road, Zhongzheng District, Taipei","",Taipei,Taipei,"",TW,"","","","{linda@twttwn.com.tw,michael@twttwn.com.tw}"
6,"TIAN RONG LOGISTICS, INC.",0,2021-10-05 06:02:51.667,2022-05-12 04:17:21.343,"TIAN RONG LOGISTICS, INC.","954738559","2075 S. ATLANTIC BLVD., SUITE H, MONTEREY PARK, CA 91754 U.S.A.","",MONTEREY PARK,CA,"91754",US,"","","",{pohsun@trl-usa.com}
7,"Port Alliance Supply Chain Solutions Co., Ltd.",0,2021-10-05 06:05:58.274,2021-10-05 06:07:23.969,"Port Alliance Supply Chain Solutions Co., Ltd.","91310000599769819T",上海市虹口区曲阳路930号6幢275室,"",上海市,"","",CN,"","","",{fannie.shen@port-alliance.com.cn}
8,Blue Ocean International Logistics Online Services (Shenzhen) Limited,0,2021-10-08 08:11:24.037,2021-10-08 08:12:51.269,Blue Ocean International Logistics Online Services (Shenzhen) Limited,"91440300MA5DE2501C",深圳市前海深港合作区前湾一路1号A栋201室,"",深圳市,"","",CN,"","","","{szx.claire.lee@blueoceanlogistics.net,szx.it@blueoceanlogistics.net,szx.yangel.chen@blueoceanlogistics.net}"
9,Blue Ocean International Logistics Asia Limited,0,2021-10-12 07:53:25.744,2021-10-12 07:55:38.238,Blue Ocean International Logistics Asia Limited,"3061898","RMS 2102-3, CHINA INSURANCE GROUP BLDG, 141 DES VOEUX RD, CENTRAL","",Hong Kong,"","",HK,"","","","{hkg.claire.lee@blueoceanlogistics.net,hkg.it@blueoceanlogistics.net,hkg.rainie.yu@blueoceanlogistics.net,hkg.yangel.chen@blueoceanlogistics.net}"
11,"Wiffa Shippingtech Co., Ltd.",0,2021-10-27 06:53:55.476,2021-10-27 06:55:57.062,"Wiffa Shippingtech Co., Ltd.","91210200744355875N",中山区世纪街26号1单元16层1号,"",辽宁省大连市,"","",CN,"","","","{forwardersmart@wiffaorg.net,kangshuchun@qq.com}"
12,AMC Transportation Inc.,0,2021-10-27 06:58:08.889,2021-10-27 07:06:39.178,AMC Transportation Inc.,"260776044","20955 Pathfinder Rd., Suite 230, Diamond Bar, CA","",Diamond Bar,CA,"91765",US,"","","","{amber.woods@amctran.com,ap@amctran.com,ar@amctran.com,finance@amctran.com,irene.ho@amctran.com,sheryl.starcher@sherrysgroup.com}"
14,"BlueX Trade, Inc.",0,2021-12-06 10:16:51.516,2022-02-21 07:26:13.268,"BlueX Trade, Inc.","833196068","20955 Pathfinder Road, Suite 230","",Diamond Bar,CA,"91765",US,"","","","{alvin.wu+admin@bluextrade.com,cando.yeh+finops@bluextrade.com,celine.liu@bluextrade.com,charlotte.chen@bluextrade.com,edward.hood@bluextrade.com,haoen.lee+finops@bluextrade.com,james.chen+bxpadmin@bluextrade.com,jason@bluextrade.com,jay.liang+bluexpay.admin@bluextrade.com,jerry.cheng@bluextrade.com,jim.wu@bluextrade.com,john.fang@bluextrade.com,lance@bluextrade.com,linda.chiang@bluextrade.com,minnie+finops@bluextrade.com,monica.lee+finops@bluextrade.com,reid.chen@bluextrade.com,service.quality+admin@bluextrade.com,vivian.chiang+finops@bluextrade.com}"
15,"H.Saga International Co., Ltd.",0,2021-12-06 10:31:50.477,2022-12-15 07:56:21.864,"H.Saga International Co., Ltd.","25011341","11F, No.132, Sec.2, Nanjing E.Rd., Zhongshan Dist., Taipei City, Taiwan, 10489",,Taipei,Taipei,"10489",TW,"","",,{johnny.chen@sagaintl.com}
16,Panda Ocean Limited,0,2021-12-07 03:04:14.432,2021-12-07 03:06:38.298,Panda Ocean Limited,"13358808","Unit C, 22/F, Roxy Industrial Centre, 58-66 Tai Lin Pai Road, Kwai Chung, N.T. ","",HK,"","",HK,"","","","{chris@pandahk.com,sandylau@pandahk.com,wa@pandahk.com}"
17,"PANDA SUPPLY CHAIN  SERVICE CO.,LTD.",0,2021-12-07 03:04:23.970,2021-12-07 03:08:51.195,"PANDA SUPPLY CHAIN  SERVICE CO.,LTD.","91440300580057539C","Room 301,Floor 3,Huaya Building C2 District,Huaya Industrial Park, Road Jihua,Longhua New District,Shenzhen,Guangdong","",Shenzhen,"","",CN,"","","",{nancyma@pandahk.com}
18,Pacific Heritage Home Fashion Inc,0,2022-01-25 20:47:07.413,2022-01-25 20:47:07.413,Pacific Heritage Home Fashion Inc,"01-0725554","901 Lawson St",,City of Industry,CA,"92748",US,"{}",,,{jennifer@pacificheritageusa.com}
19,T.V.L. Global Logistics Corp.,0,2022-01-29 01:02:32.956,2023-03-28 20:54:09.725,T.V.L. Global Logistics Corp.,"262300588","12880 Moore St.",,Cerritos,CA,"90703",US,"{}",,,{kayliu@tvlgroupusa.com}
20,"Soho Kitchen Studio, Inc (DBA Soho Deco)",0,2022-02-03 23:15:38.147,2022-02-03 23:15:38.147,"Soho Kitchen Studio, Inc (DBA Soho Deco)","20-3496973","16500 Gale Avenue",,City of Industry,CA,"91745",US,"{}",,,{carol@sohodeco.net}
21,Qualiaware Inc.,0,2022-02-04 00:24:54.062,2022-02-04 00:24:54.062,Qualiaware Inc.,"851261898","14999 Summit Dr",,Eastvale,CA,"92880",US,"{}",,,{lynn@qualiaware.com}
